Google Cloud Platform APIs;;;;;
;;CloudLex;Stéphanie;;API Discovery URL
45;GCP Services;22;14;;
;;;;;
1;App Engine Admin;;1;;https://www.googleapis.com/discovery/v1/apis/appengine/v1/rest
2;Cloud User Account ;1;1;;https://www.googleapis.com/discovery/v1/apis/clouduseraccounts/vm_beta/rest
3;Compute Engine;1;1;;https://www.googleapis.com/discovery/v1/apis/compute/v1/rest
4;Container Engine;1;1;;https://www.googleapis.com/discovery/v1/apis/container/v1/rest
5;Compute Engine Instance Group Updater;1;;;DEPRECATED ou Google Compute Engine Instance Groups API
6;Cloud Bigtable Admin;;;;https://bigtableadmin.googleapis.com/$discovery/rest?version=v2
7;Cloud Bigtable Data;;;;PAS TROUVE
8;Cloud Datastore;1;;;https://www.googleapis.com/discovery/v1/apis/datastore/v1/rest
9;Cloud SQL Administration;1;1;;https://www.googleapis.com/discovery/v1/apis/sqladmin/v1beta4/rest
10;Cloud Storage JSON ;1;1;;https://www.googleapis.com/discovery/v1/apis/storage/v1/rest
11;Storage Transfer;1;;;https://www.googleapis.com/discovery/v1/apis/storagetransfer/v1/rest
12;Cloud DNS;1;1;;https://www.googleapis.com/discovery/v1/apis/dns/v1/rest
13;BigQuery;1;1;;https://www.googleapis.com/discovery/v1/apis/bigquery/v2/rest
14;Cloud Dataflow;;;;https://www.googleapis.com/discovery/v1/apis/dataflow/v1b3/rest
15;Cloud Dataproc;1;1;;https://www.googleapis.com/discovery/v1/apis/dataproc/v1/rest
16;Genomics;;;;https://www.googleapis.com/discovery/v1/apis/genomics/v1/rest
17;Cloud Pub/Sub;1;1;;https://www.googleapis.com/discovery/v1/apis/pubsub/v1/rest
18;Cloud Vision;;;;https://www.googleapis.com/discovery/v1/apis/vision/v1/rest
19;Cloud Speech;;;;https://www.googleapis.com/discovery/v1/apis/speech/v1/rest
20;Natural Language;;;;https://www.googleapis.com/discovery/v1/apis/language/v1/rest
21;Translation;;;;https://translation.googleapis.com/$discovery/rest?version=v2
22;Cloud Billing;;;;https://www.googleapis.com/discovery/v1/apis/cloudbilling/v1/rest
23;Container Builder;1;;;https://www.googleapis.com/discovery/v1/apis/cloudbuild/v1/rest
24;Stackdriver Debugger;1;;;https://www.googleapis.com/discovery/v1/apis/clouddebugger/v2/rest
25;Stackdriver Error Reporting;1;;;https://www.googleapis.com/discovery/v1/apis/clouderrorreporting/v1beta1/rest
26;Stackdriver Trace;1;;;https://www.googleapis.com/discovery/v1/apis/cloudtrace/v2/rest
27;Deployment Manager;1;;;https://www.googleapis.com/discovery/v1/apis/deploymentmanager/v2/rest
28;Stackdriver Logging;1;1;;https://www.googleapis.com/discovery/v1/apis/logging/v2/rest
29;Stackdriver Monitoring;1;;;https://www.googleapis.com/discovery/v1/apis/monitoring/v3/rest
30;Cloud Runtime Config ;;1;;https://www.googleapis.com/discovery/v1/apis/runtimeconfig/v1/rest
31;Resource Manager;1;;;https://www.googleapis.com/discovery/v1/apis/cloudresourcemanager/v2beta1/rest
32;Identity and Access Management;1;1;;https://www.googleapis.com/discovery/v1/apis/iam/v1/rest
;;;;;
33;prediction;1;;;https://www.googleapis.com/discovery/v1/apis/prediction/v1.6/rest
34;Cloud Functions;;1;;https://www.googleapis.com/discovery/v1/apis/cloudfunctions/v1/rest
35;Google Cloud Key Management Service (KMS);;;;https://www.googleapis.com/discovery/v1/apis/cloudkms/v1/rest
36;DLP API;;;;https://www.googleapis.com/discovery/v1/apis/dlp/v2beta1/rest
37;Google Cloud OS Login API;;;;https://www.googleapis.com/discovery/v1/apis/oslogin/v1alpha/rest
38;Machine Learning;;;;https://www.googleapis.com/discovery/v1/apis/ml/v1/rest
39;Google Compute Engine Instance Groups API;;;;https://www.googleapis.com/discovery/v1/apis/resourceviews/v1beta2/rest
40;Google Service Control API;;;;https://www.googleapis.com/discovery/v1/apis/servicecontrol/v1/rest
41;Google Service Management API;;;;https://www.googleapis.com/discovery/v1/apis/servicemanagement/v1/rest
42;Google Service User API;;;;https://www.googleapis.com/discovery/v1/apis/serviceuser/v1/rest
43;Cloud Spanner API;;;;https://www.googleapis.com/discovery/v1/apis/spanner/v1/rest
44;Google Cloud Video Intelligence API;;;;https://www.googleapis.com/discovery/v1/apis/videointelligence/v1beta1/rest
45;BigQuery Data Transfer Service API;;;;https://www.googleapis.com/discovery/v1/apis/bigquerydatatransfer/v1/rest
